number,x,y,z,qx,qy,qz,qw,attributes
159,18.0316,13.6581,-2.06427,-0.00543541,-0.0204764,0.589906,-0.807222,
160,18.1977,12.6726,-2.11397,0.00264233,-0.0189239,0.679407,-0.73356,
161,18.3035,11.6707,-2.13605,-0.0105002,-0.0284272,0.677939,-0.734488,
162,18.309,10.67,-2.20233,-0.0091168,-0.0308754,0.688399,-0.72461,
163,18.3725,9.65113,-2.2714,-0.0103727,-0.0360699,0.704695,-0.708551,
164,18.3173,8.60835,-2.31975,0.00974853,-0.0243441,0.757278,-0.652554,
165,18.1011,7.54324,-2.37909,0.00519508,-0.0291763,0.801785,-0.596866,
166,17.6565,6.63134,-2.4163,0.0194013,-0.0359045,0.894628,-0.445002,
167,16.7509,5.95074,-2.37993,0.023983,-0.0390999,0.959822,-0.276761,
168,15.8386,5.44014,-2.36473,0.0301015,-0.035589,0.976636,-0.209708,
169,14.8037,5.22799,-2.32457,0.0432878,-0.0311463,0.997491,-0.0467588,
170,13.7822,5.15766,-2.29234,0.0434706,-0.0269738,0.996913,-0.0595475,
171,12.7476,4.98571,-2.26579,0.0367419,-0.0261167,0.995459,-0.0837572,
172,11.6577,4.84375,-2.24766,0.0390515,-0.0221813,0.997467,-0.055174,
173,10.6567,4.76398,-2.18619,0.0401704,-0.0267242,0.997968,-0.0420033,
174,9.62018,4.69629,-2.11292,0.0531292,-0.0260803,0.996806,-0.0531938,
175,8.5649,4.61893,-2.02306,0.0542339,-0.0263482,0.997039,-0.0475847,
176,7.55778,4.5648,-1.94993,0.0521642,-0.0284348,0.996843,-0.0522918,
177,6.44172,4.51422,-1.81821,0.0525832,-0.0368684,0.995891,-0.0642882,
178,5.41686,4.43103,-1.71958,0.0550593,-0.0463941,0.995224,-0.066289,
179,4.37863,4.31043,-1.64058,0.0516901,-0.0468414,0.996819,-0.0392497,
180,3.35162,4.13464,-1.58946,0.0498118,-0.0431613,0.996126,-0.0587333,
181,2.3318,4.03249,-1.51123,0.0492435,-0.048498,0.996355,-0.0502319,
182,1.33526,3.91357,-1.44944,0.0497943,-0.040977,0.995104,-0.07481,
183,0.327722,3.74035,-1.44459,0.018693,-0.0755033,0.993681,-0.0810923,
184,-0.9569,3.3597,-1.82164,-0.0215856,-0.0989119,0.991672,-0.0793042,
185,-1.46759,3.28806,-2.73781,0.00263033,-0.0455377,0.99613,-0.0748454,
186,-2.49991,3.1949,-2.80092,0.00134882,-0.0371593,0.996066,-0.0803216,
187,-3.52534,2.97585,-2.83867,0.0034216,-0.0405497,0.998606,-0.033164,
