number,x,y,z,qx,qy,qz,qw,attributes
0,-4.43434,5.19181,-1.43182,0.022042,0.00638614,0.761272,0.648055,
1,-4.7831,6.11921,-1.57905,0.00237308,-0.00160194,0.744584,0.667483,
2,-5.19098,6.17288,-2.56132,0.0434464,-0.0289012,0.72949,0.682019,
3,-5.28105,7.26901,-2.54641,0.0327453,-0.0274125,0.713114,0.699738,
4,-5.32811,8.27979,-2.48008,0.0335461,-0.029693,0.700266,0.7125,
5,-5.26697,9.37188,-2.40064,0.0366313,-0.0255061,0.740445,0.670645,
6,-5.39893,10.3913,-2.33899,0.0379036,-0.0289589,0.717889,0.694522,
7,-5.44381,11.4099,-2.27506,0.03058,-0.0253849,0.705221,0.707892,
8,-5.44117,12.4707,-2.19329,0.0373322,-0.0312454,0.709216,0.7033,
9,-5.40986,13.4768,-2.11376,0.0371742,-0.0326434,0.699805,0.712645,
10,-5.5809,14.493,-2.04552,0.0338884,-0.0355964,0.767356,0.63932,
11,-5.68389,15.5872,-1.9513,0.0350869,-0.0355891,0.735587,0.675546,
12,-5.74835,16.5872,-1.86267,0.0364404,-0.0329166,0.716768,0.69554,
13,-5.79926,17.6488,-1.8001,0.0389096,-0.0317412,0.702762,0.709623,
14,-5.80027,18.6505,-1.73294,0.0394369,-0.0269289,0.732621,0.678981,
15,-5.92613,19.7107,-1.66868,0.0385858,-0.0255531,0.717337,0.6952,
16,-5.96405,20.8419,-1.5789,0.04261,-0.0285777,0.715406,0.69684,
17,-6.01307,21.9029,-1.49339,0.038673,-0.0244172,0.74709,0.663169,
18,-6.07915,22.9247,-1.43733,0.035518,-0.0233856,0.702124,0.710808,
19,-6.11722,23.9474,-1.3663,0.0355151,-0.0223481,0.723402,0.689175,
20,-6.22935,25.0011,-1.30128,0.0354503,-0.0258339,0.770763,0.635587,
21,-6.38415,26.0896,-1.21616,0.0391698,-0.0260903,0.733682,0.677848,
22,-6.45812,27.0933,-1.14418,0.0355873,-0.0253781,0.715873,0.696888,
23,-6.50379,28.1468,-1.08155,0.0405472,-0.027609,0.732572,0.678916,
24,-6.62901,29.1741,-0.987828,0.037024,-0.0336176,0.772921,0.632523,
25,-6.78217,30.1909,-0.907667,0.038901,-0.0282573,0.743484,0.666991,
26,-6.89037,31.3107,-0.818934,0.0381754,-0.0239805,0.733003,0.67876,
27,-6.96507,32.4328,-0.734852,0.0414151,-0.0289933,0.703972,0.708392,
28,-6.94599,33.4855,-0.646879,0.0403048,-0.0337846,0.686531,0.72518,
