number,x,y,z,qx,qy,qz,qw,attributes
0,0.571667899756,0.0158765528457,-0.864098186699,0.00385623395269,-0.00287478313471,0.000605514247605,0.999988249148,
1,1.6021452562,0.016727079989,-0.864243473192,0.00417261031047,-0.00283072254077,0.000157898117272,0.99998727562,
2,2.61922812015,0.013252257312,-0.863064686047,0.00418876459327,-0.00291826361638,-0.00142704691255,0.999985950664,
3,3.68279635769,0.011626988794,-0.861326170662,0.00436211057892,-0.00311454076349,-0.00455185013817,0.999975275838,
4,4.69588948036,-0.00467272468537,-0.858828007331,0.0042791437311,-0.00318690538686,-0.00852704723686,0.999949409735,
5,5.76206597512,-0.0200687377377,-0.855090320563,0.00429542033744,-0.00348625951962,-0.0126486111083,0.999904699457,
6,6.77760701476,-0.0390708756081,-0.84883798986,0.0041358840682,-0.00406056300529,-0.0154299471709,0.999864152283,
7,7.79642788767,-0.0740330969186,-0.842612867534,0.00415545283714,-0.00397669910994,-0.0192612226242,0.999797941276,
8,8.82564660304,-0.123230979398,-0.836838810979,0.00431586286211,-0.00419738017611,-0.0227977472251,0.999721970374,
9,9.85498357797,-0.178213038656,-0.832303165634,0.00455077728211,-0.00411488193947,-0.0265165108173,0.999629547796,
10,10.8698239465,-0.233478769311,-0.82626557775,0.00465159237835,-0.00395462188298,-0.0301602580746,0.999526429109,
11,11.9552909758,-0.30360707675,-0.820090672857,0.00493628597513,-0.00403618367655,-0.0336895374919,0.999412005814,
12,13.0108728714,-0.335640845239,-0.812962704907,0.00478916346406,-0.00432523438836,0.00921572124868,0.999936711369,
13,14.0808250732,-0.278209678457,-0.807862690989,0.0047703173055,-0.00481798327462,0.0615649733676,0.998080049477,
14,15.1295425214,-0.0949075276443,-0.797369043273,0.00473378588161,-0.00516082972859,0.0982042273548,0.995141641595,
15,16.1883774963,0.124202798995,-0.78930751734,0.00455961763558,-0.00518154411833,0.101730666997,0.994788034146,
16,17.2178059945,0.346000935628,-0.779893278062,0.00459448892998,-0.00516117716858,0.105015813893,0.994446545448,
17,18.2557584753,0.572884204093,-0.770312519029,0.00456016526776,-0.00538527828671,0.107721170268,0.994156100996,
18,19.2346290918,0.796362656256,-0.762162296993,0.00461768531934,-0.00572282098404,0.11424254119,0.993425673156,
19,20.2587382435,1.03580941797,-0.75295721904,0.00478667079422,-0.00571317604476,0.118974107976,0.992869381658,
20,21.2903106202,1.27716662357,-0.738825875098,0.00481029247869,-0.0055556134902,0.123625046001,0.992301790911,
21,22.2733513527,1.53354422859,-0.728860651063,0.00476626709082,-0.00578516461851,0.127881260475,0.991761159649,
22,23.2971253015,1.82445561783,-0.715741096516,0.00465059665366,-0.00593712784426,0.146462776192,0.989187433025,
23,24.2914137399,2.14236189957,-0.701733162621,0.00451126717774,-0.0059757582333,0.189430921575,0.981865502364,
24,25.2699250274,2.62439141453,-0.68434477867,0.00433144154674,-0.00638475539955,0.246316754837,0.969158671116,
25,26.1994405336,3.17250517626,-0.662728112618,0.00407825879259,-0.00721713179676,0.288180423049,0.957540246979,
26,27.0641941524,3.78944892229,-0.642664527254,0.00399988494884,-0.00748921535284,0.32795049093,0.94465675675,
27,27.9073668313,4.45483907459,-0.623779605698,0.00354609333434,-0.00803701548316,0.369908503676,0.92902665759,
28,28.6818924862,5.18707113972,-0.604281453694,0.00313324008847,-0.0080954298475,0.407140762312,0.913324173821,
29,29.3636676257,6.02246406675,-0.582264152238,0.00280859860563,-0.00830623553425,0.437188111839,0.899327344793,
30,30.0017795296,6.89503820518,-0.563444533172,0.00239180633478,-0.00846676671255,0.465982694318,0.88475008998,
31,30.5812408471,7.76400550104,-0.544302451268,0.00241272468748,-0.00844843069774,0.494219111994,0.869292972546,
32,31.0930581197,8.6353201044,-0.53109019003,0.00165406230727,-0.00890599134155,0.521267061896,0.853345532348,
33,31.5905357913,9.59962106598,-0.523568448581,0.00156932322943,-0.00919156350448,0.548218207018,0.836283355017,
34,31.9851760445,10.5908299863,-0.513852207674,0.00146153504473,-0.00928837176376,0.574560645177,0.818408000376,
35,32.3036505754,11.5670264307,-0.503399569724,0.00076160763739,-0.0088800348941,0.601154538577,0.7990830906,
36,32.5973603849,12.6031838543,-0.491538736675,0.00103883839687,-0.00910066035296,0.608300957269,0.793653604655,
37,32.8487160512,13.5781025143,-0.479478034643,0.000930835670244,-0.00947925633072,0.637993802216,0.769982587841,
38,32.9919265156,14.6236953374,-0.471482400102,6.22077176666e-06,-0.00879100826723,0.657191611177,0.753672279133,
39,33.1384130438,15.692787316,-0.453729784787,0.000170389002071,-0.00857643121029,0.654643410679,0.755889158971,
40,33.2965612211,16.7496802137,-0.436041457243,0.000383447566345,-0.00870504771383,0.652019385558,0.7581522248,
41,33.4622003432,17.7951266442,-0.423763206463,0.00062221963097,-0.00870137882739,0.649707446822,0.760134285763,
42,33.6463564098,18.8543235251,-0.406822790557,0.000846014275143,-0.00889689121758,0.647885011277,0.76168572374,
43,33.8023120948,19.8490925021,-0.392228718779,0.000799371742596,-0.00942983273949,0.66424075224,0.747458803094,
44,33.8872418144,20.9041940839,-0.379444857457,0.000500384370685,-0.00970365211743,0.680905112153,0.732307187589,
45,33.9692899923,21.9623776022,-0.364292678265,-0.000100349157897,-0.010224405193,0.678387827635,0.73463283808,
46,34.0525010104,22.9597805928,-0.351643009777,-0.000138487943266,-0.0103301951913,0.67617351487,0.736669970663,
47,34.1279352167,24.0202944789,-0.338994247001,0.000229952994755,-0.0100316413357,0.673960823845,0.738698938144,
48,34.2148367546,25.0655330366,-0.323404175269,0.000511276218464,-0.0093077038561,0.678254788363,0.734767682542,
49,34.2677068973,26.1379020934,-0.311336821887,-0.000176830526966,-0.00933079746623,0.705548676455,0.708600007129,
50,34.2319263073,27.1982348307,-0.301167373614,-0.000471279893041,-0.00916208228463,0.715374587839,0.698680923754,
51,34.2032015719,28.2731459682,-0.286843456374,-0.000648488468844,-0.00909695531543,0.717939529814,0.696045728668,
52,34.1666534627,29.3410652196,-0.271531766646,-0.000864028555372,-0.00918286066814,0.720456861766,0.693438417496,
53,34.1214149153,30.4207488445,-0.258054528163,-0.000630190898872,-0.0093215068314,0.72318453895,0.690591655751,
54,34.0688924462,31.491934784,-0.244345675439,-0.000748988742062,-0.00957713277201,0.725704376739,0.687939586829,
55,34.0059617771,32.5560743294,-0.22544189597,-0.000966507161449,-0.0101396307524,0.727834946498,0.685676705458,
56,33.9251937979,33.6151436729,-0.209871720588,-0.00101337939745,-0.0101492275025,0.730254724631,0.683098824034,
57,33.8437575898,34.6187824629,-0.197958630854,-0.000816176177296,-0.0100938564868,0.732237792409,0.680973761085,
58,33.7349055494,35.6725503982,-0.183482213357,-0.00139226679041,-0.0104991139712,0.760509688137,0.649240205509,
59,33.5047416715,36.7162063648,-0.175909242812,-0.00201119828199,-0.0101919293416,0.783274226821,0.621589547254,
60,33.230661356,37.736509749,-0.164916954959,-0.00190669364542,-0.0101155052244,0.785372124442,0.618938338789,
61,32.9571330114,38.7519308785,-0.15087320099,-0.0019915792861,-0.0104238233026,0.800353183299,0.599434866772,
62,32.6553735779,39.7195037844,-0.138248307516,-0.00218093705422,-0.0105200751278,0.816071028835,0.57785175212,
63,32.2540148781,40.7048182522,-0.134275296223,-0.00255695199489,-0.0103085962324,0.829792678751,0.557970702753,
64,31.8082868579,41.6703842466,-0.130841338153,-0.00277529654853,-0.0103473471303,0.842195893873,0.539065215424,
65,31.3210965138,42.622642575,-0.125760807893,-0.00250713132888,-0.0097910939814,0.851543443995,0.524186619211,
66,30.825462571,43.5649465367,-0.125333019443,-0.00295745800882,-0.0100505107563,0.861873714178,0.507014734977,
67,30.2201548488,44.4453381208,-0.122371937259,-0.00336836485457,-0.0100088182101,0.893319883607,0.449297299379,
68,29.4985328162,45.2232269009,-0.123004681728,-0.00418276267791,-0.00985603498898,0.929025511867,0.3698607324,
69,28.6349573724,45.8550104233,-0.125869791092,-0.00504696534248,-0.00925983171013,0.960426048558,0.278335389248,
70,27.6533823128,46.2801861094,-0.137165535593,-0.00570336437711,-0.00831500497523,0.984720282172,0.173851368145,
71,26.6464390845,46.6088711161,-0.14544041389,-0.00601944942494,-0.00821075033202,0.985636087159,0.168575957648,
72,25.614091155,46.9365482398,-0.152946419767,-0.00538924422689,-0.00788441407791,0.984813973676,0.173350019655,
73,24.6586830075,47.2790660549,-0.165663835049,-0.00495909730753,-0.00721891261282,0.980987307294,0.193874179773,
74,23.6845586376,47.6508475274,-0.17895190733,-0.00546013459713,-0.0079022319746,0.988952762398,0.147919489607,
75,22.6463060518,47.8202550969,-0.187268741711,-0.00617052215657,-0.00915472614457,0.997824500894,0.0649952387629,
76,21.6054208576,47.9253069017,-0.204229092382,-0.00551108360509,-0.00819164087159,0.997394051125,0.0714676972976,
77,20.5793530289,48.0682553339,-0.217344552303,-0.00472418008788,-0.00817295848308,0.996389391957,0.0843745486954,
78,19.5374259855,48.2041044248,-0.228074431697,-0.00470601311406,-0.00777982650812,0.996673374382,0.0809908176113,
79,18.4681053235,48.2889291495,-0.23623836466,-0.00506461180685,-0.00744673509064,0.999906456056,0.0102944150904,
80,17.4554263303,48.2433539655,-0.24702429683,-0.00519758069902,-0.00716445408172,0.998592113543,-0.052301496362,
81,16.436375295,48.1259371113,-0.259979532893,-0.00362341765326,-0.00495391451518,0.99835089021,-0.0570774000176,
82,15.3620416206,48.0363759977,-0.268534096694,-0.00293540037709,-0.00527792398747,0.99806445575,-0.0618940151528,
83,14.3008560788,47.913308299,-0.282412319716,-0.00234562764093,-0.00376275413393,0.997808311914,-0.0660220598514,
84,13.2630701231,47.8232154912,-0.283717864384,-0.00538363028095,-0.00502865926529,0.997597110732,-0.0688892863219,
85,12.2094776695,47.6933778665,-0.293285006566,-0.0050756534139,-0.00480779275839,0.997304548365,-0.0730394460654,
86,11.1671734177,47.5710852851,-0.30465682098,-0.00463208725094,-0.00684813778695,0.996738971978,-0.0802687268969,
87,10.1622491394,47.4362700709,-0.314193075821,-0.00355061789806,-0.0076260376389,0.996625440941,-0.0816514980346,
88,9.15193143876,47.2778308679,-0.32419957673,-0.00498092328041,-0.00811664786646,0.996037417732,-0.0884238254605,
89,8.06970269281,47.1236762101,-0.327635444904,-0.0039368477592,-0.0058158889088,0.996291777147,-0.0857518014712,
90,7.04837627399,46.9619916654,-0.3353414266,-0.00493499412557,-0.00822783168896,0.995298543433,-0.0963782032376,
91,6.04143194247,46.8200624291,-0.339976071052,-0.00477715098097,-0.00703179184887,0.995261227755,-0.096864964048,
92,5.04879285009,46.6631980701,-0.345010957346,-0.00384559478401,-0.00633379878432,0.995106098853,-0.098533986115,
